Claim Number,Exposure ID,Assignment #,Event Type,Timestamp,Activity Notes,Assigned To Adjuster,Reason for Reassignment,Manual/System Trigger,Assigned By,Complexity
CLM-00005,CLM-00005-EXP01,3,Escalated,04/23/2024 07:00 PM,Claim escalated to Christopher Adams in Subrogation Recovery Unit. Action: Supplement inspection requested by field appraiser.,,,Manual,Claims Manager,Medium
CLM-00005,CLM-00005-EXP03,4,Reassigned,04/25/2024 02:00 AM,Reassigned from prior adjuster to Anita Patel in West Zone Operations Ohio Team 3. Flag: Workload threshold exceeded on prior adjuster - system-triggered transfer.,,,Manual,Claims Manager,Medium
CLM-00005,CLM-00005-EXP03,5,Referred,04/25/2024 04:00 AM,Coverage question identified. Claim referred to Rachel Coleman in Senior Adjusters Unit. Action: Potential ISS involvement identified during recorded statement.,,,Manual,Supervisor - Team Lead,Medium
CLM-00006,CLM-00006-EXP01,1,Assigned,05/17/2024 12:00 AM,New claim received. Assignment Engine routed to Maria Gonzalez in Cleveland Workers Comp Team 3. Action: Claimant's attorney contacted; representation letter received.,,,Manual,Rachel Coleman,Low
CLM-00006,CLM-00006-EXP01,2,Reassigned,05/22/2024 05:00 AM,Assigned to Rachel Coleman in Senior Adjusters Unit. Action: Exposure closed; partial payment issued.,,,Manual,Claims Manager,Low
CLM-00006,CLM-00006-EXP01,3,Reassigned,05/24/2024 01:00 PM,Claim transferred to David O'Brien (ISS Special Investigations Unit). Action: Subrogation opportunity flagged against third-party carrier.,,,System,Assignment Engine (Auto-Route),Low
CLM-00007,CLM-00007-EXP01,1,Assigned,03/12/2024 12:00 AM,New claim received. Assignment Engine routed to Steven Park in Parkersburg MD Team 2. Action: Date of loss corrected per police report.,,,System,Assignment Engine (Auto-Route),Low
CLM-00007,CLM-00007-EXP02,2,Referred,03/13/2024 05:00 AM,Coverage question identified. Claim referred to Kevin Walsh in CAT Response Team - Central. Flag: Litigation hold applied; outside counsel notified.,,,Manual,Supervisor - Team Lead,Low
CLM-00008,CLM-00008-EXP01,1,Assigned,02/02/2024 12:00 AM,New claim received. Assignment Engine routed to Marcus Thompson in Columbus Property Team 3. Flag: Activity Overdue - initial contact with insured not completed.,,,System,Assignment Engine (Auto-Route),Low
CLM-00008,CLM-00008-EXP01,2,Reassigned,02/06/2024 04:00 AM,Assigned to Steven Park in Parkersburg MD Team 2. Action: Recorded statement completed; liability assessment in progress.,,,System,Assignment Engine (Auto-Route),Low
CLM-00008,CLM-00008-EXP01,3,Reassigned,02/06/2024 10:00 AM,Claim transferred to Patricia Chen (Cleveland Workers Comp Team 1). Flag: Adjuster OOO - claim reassigned to maintain contact SLA.,,,Manual,Claims Manager,Low
CLM-00009,CLM-00009-EXP01,1,Assigned,05/30/2024 03:00 AM,Initial FNOL intake complete. Claim routed to Marcus Thompson (Columbus Property Team 3) based on loss location and LOB eligibility. Action: Supplement inspection requested by field appraiser.,,,System,Assignment Engine (Auto-Route),Low
CLM-00009,CLM-00009-EXP01,2,Referred,06/02/2024 10:00 AM,Coverage question identified. Claim referred to Sarah Mitchell in West Zone Operations Ohio Team 6. Flag: Adjuster OOO - claim reassigned to maintain contact SLA.,,,Manual,Claims Manager,Low
CLM-00009,CLM-00009-EXP01,3,Escalated,06/02/2024 11:00 AM,Claim escalated to Rachel Coleman in Senior Adjusters Unit. Action: Supplement inspection requested by field appraiser.,,,Manual,Rachel Coleman,Low
CLM-00010,CLM-00010-EXP02,1,Assigned,07/10/2024 01:00 AM,Claim created and assigned to Patricia Chen in group Cleveland Workers Comp Team 1. Action: CAT team engaged due to widespread weather event in region.,,,Manual,Supervisor - Team Lead,Medium
CLM-00010,CLM-00010-EXP01,2,Escalated,07/14/2024 03:00 AM,Claim escalated to Jennifer Nguyen in Rochester Liability Team 4. Action: New exposure added; policy coverage verified.,,,Manual,Rachel Coleman,Medium
CLM-00010,CLM-00010-EXP02,3,Reassigned,07/15/2024 10:00 AM,Claim transferred to Christopher Adams (Subrogation Recovery Unit). Flag: Coverage dispute - policy exclusion under review by coverage counsel.,,,Manual,Supervisor - Team Lead,Medium
CLM-00011,CLM-00011-EXP01,1,Assigned,09/29/2024 03:00 AM,Claim created and assigned to Maria Gonzalez in group Cleveland Workers Comp Team 3. Action: Date of loss corrected per police report.,,,System,Assignment Engine (Auto-Route),Medium
CLM-00011,CLM-00011-EXP01,2,Escalated,09/29/2024 01:00 PM,Supervisor review required. Escalation issued to Sarah Mitchell (West Zone Operations Ohio Team 6). Action: Loss cause updated from initial FNOL report.,,,Manual,Supervisor - Team Lead,Medium
CLM-00011,CLM-00011-EXP01,3,Reassigned,10/03/2024 10:00 PM,Assigned to Jennifer Nguyen in Rochester Liability Team 4. Flag: Activity Overdue - initial contact with insured not completed.,,,Manual,Claims Manager,Medium
CLM-00011,CLM-00011-EXP01,4,Reassigned,10/04/2024 02:00 AM,Assigned to Thomas Burke in Parkersburg MD Team 4. Action: CAT team engaged due to widespread weather event in region.,,,Manual,Claims Manager,Medium
CLM-00012,CLM-00012-EXP02,1,Assigned,06/08/2024 02:00 AM,New claim received. Assignment Engine routed to Marcus Thompson in Columbus Property Team 3. Flag: Coverage dispute - policy exclusion under review by coverage counsel.,,,System,Assignment Engine (Auto-Route),Low
CLM-00012,CLM-00012-EXP02,2,Referred,06/10/2024 10:00 AM,Specialist referral issued to James Kowalski (West Zone Operations Illinois Team 4) for further review. Action: New exposure added; policy coverage verified.,,,Manual,Claims Manager,Low
CLM-00012,CLM-00012-EXP01,3,Reassigned,06/14/2024 12:00 PM,Reassigned from prior adjuster to Jennifer Nguyen in Rochester Liability Team 4. Action: Potential ISS involvement identified during recorded statement.,,,System,Assignment Engine (Auto-Route),Low
CLM-00013,CLM-00013-EXP01,1,Assigned,11/19/2024 03:00 AM,New claim received. Assignment Engine routed to Rachel Coleman in Senior Adjusters Unit. Flag: Workload threshold exceeded on prior adjuster - system-triggered transfer.,,,Manual,Claims Manager,Low
CLM-00013,CLM-00013-EXP01,2,Referred,11/19/2024 12:00 PM,Specialist referral issued to James Kowalski (West Zone Operations Illinois Team 4) for further review. Action: Date of loss corrected per police report.,,,Manual,Rachel Coleman,Low
CLM-00013,CLM-00013-EXP01,3,Reassigned,11/19/2024 09:00 PM,Claim transferred to Thomas Burke (Parkersburg MD Team 4). Flag: Litigation hold applied; outside counsel notified.,,,Manual,Claims Manager,Low
CLM-00014,CLM-00014-EXP02,1,Assigned,08/30/2024 12:00 AM,Initial FNOL intake complete. Claim routed to Thomas Burke (Parkersburg MD Team 4) based on loss location and LOB eligibility. Action: Potential ISS involvement identified during recorded statement.,,,System,Assignment Engine (Auto-Route),Low
CLM-00014,CLM-00014-EXP01,2,Escalated,08/31/2024 05:00 AM,Supervisor review required. Escalation issued to Kevin Walsh (CAT Response Team - Central). Action: Insured requested status update; call completed and documented.,,,Manual,Rachel Coleman,Low
CLM-00014,CLM-00014-EXP03,3,Referred,08/31/2024 07:00 AM,Specialist referral issued to Jennifer Nguyen (Rochester Liability Team 4) for further review. Action: Loss cause updated from initial FNOL report.,,,Manual,Claims Manager,Low
CLM-00015,CLM-00015-EXP01,1,Assigned,04/03/2024 02:00 AM,Claim created and assigned to David O'Brien in group ISS Special Investigations Unit. Action: Independent Medical Examination (IME) ordered.,,,System,Assignment Engine (Auto-Route),Low
CLM-00015,CLM-00015-EXP01,2,Escalated,04/08/2024 04:00 AM,Supervisor review required. Escalation issued to Christopher Adams (Subrogation Recovery Unit). Action: Insured requested status update; call completed and documented.,,,Manual,Claims Manager,Low
CLM-00015,CLM-00015-EXP01,3,Referred,04/09/2024 08:00 AM,Specialist referral issued to Steven Park (Parkersburg MD Team 2) for further review. Action: Exposure closed; partial payment issued.,,,Manual,Rachel Coleman,Low
CLM-00016,CLM-00016-EXP01,1,Assigned,07/27/2024 02:00 AM,Initial FNOL intake complete. Claim routed to Linda Reyes (Rochester Liability Team 2) based on loss location and LOB eligibility. Flag: Coverage dispute - policy exclusion under review by coverage counsel.,,,Manual,Rachel Coleman,Low
CLM-00016,CLM-00016-EXP02,2,Reassigned,07/28/2024 10:00 AM,Claim transferred to Rachel Coleman (Senior Adjusters Unit). Action: CAT team engaged due to widespread weather event in region.,,,System,Assignment Engine (Auto-Route),Low
CLM-00016,CLM-00016-EXP02,3,Referred,07/31/2024 04:00 PM,Specialist referral issued to Steven Park (Parkersburg MD Team 2) for further review. Action: Potential ISS involvement identified during recorded statement.,,,Manual,Claims Manager,Low
CLM-00017,CLM-00017-EXP01,1,Assigned,04/07/2024 02:00 AM,Initial FNOL intake complete. Claim routed to Linda Reyes (Rochester Liability Team 2) based on loss location and LOB eligibility. Action: Loss cause updated from initial FNOL report.,,,System,Assignment Engine (Auto-Route),Low
CLM-00017,CLM-00017-EXP01,2,Escalated,04/09/2024 08:00 AM,Complexity threshold exceeded. Escalated to senior handler Jennifer Nguyen in Rochester Liability Team 4. Action: Supplement inspection requested by field appraiser.,,,Manual,Claims Manager,Low
CLM-00017,CLM-00017-EXP01,3,Escalated,04/10/2024 01:00 PM,Supervisor review required. Escalation issued to Sarah Mitchell (West Zone Operations Ohio Team 6). Action: Claimant's attorney contacted; representation letter received.,,,Manual,Claims Manager,Low
CLM-00018,CLM-00018-EXP01,1,Assigned,09/17/2024 02:00 AM,New claim received. Assignment Engine routed to Jennifer Nguyen in Rochester Liability Team 4. Flag: Adjuster OOO - claim reassigned to maintain contact SLA.,,,Manual,Supervisor - Team Lead,Low
CLM-00018,CLM-00018-EXP01,2,Reassigned,09/21/2024 07:00 AM,Claim transferred to Steven Park (Parkersburg MD Team 2). Action: Subrogation opportunity flagged against third-party carrier.,,,Manual,Supervisor - Team Lead,Low
CLM-00018,CLM-00018-EXP01,3,Escalated,09/26/2024 02:00 PM,Supervisor review required. Escalation issued to Patricia Chen (Cleveland Workers Comp Team 1). Flag: Coverage dispute - policy exclusion under review by coverage counsel.,,,Manual,Rachel Coleman,Low
CLM-00019,CLM-00019-EXP02,1,Assigned,08/02/2024 03:00 AM,Initial FNOL intake complete. Claim routed to Robert Harrington (Pittsburgh Property Team 2) based on loss location and LOB eligibility. Flag: Adjuster OOO - claim reassigned to maintain contact SLA.,,,System,Assignment Engine (Auto-Route),Medium
CLM-00019,CLM-00019-EXP01,2,Reassigned,08/07/2024 06:00 AM,Assigned to Maria Gonzalez in Cleveland Workers Comp Team 3. Action: Recorded statement completed; liability assessment in progress.,,,Manual,Rachel Coleman,Medium
CLM-00019,CLM-00019-EXP01,3,Escalated,08/12/2024 11:00 AM,Claim escalated to Linda Reyes in Rochester Liability Team 2. Action: New exposure added; policy coverage verified.,,,Manual,Rachel Coleman,Medium
CLM-00019,CLM-00019-EXP01,4,Reassigned,08/15/2024 09:00 PM,Workload rebalance triggered. Claim moved to Maria Gonzalez in Cleveland Workers Comp Team 3. Action: Total loss determination initiated; market value assessed.,,,System,Assignment Engine (Auto-Route),Medium
CLM-00020,CLM-00020-EXP01,1,Assigned,02/21/2024 12:00 AM,New claim received. Assignment Engine routed to Steven Park in Parkersburg MD Team 2. Action: CAT team engaged due to widespread weather event in region.,,,System,Assignment Engine (Auto-Route),Low
CLM-00020,CLM-00020-EXP01,2,Reassigned,02/25/2024 08:00 AM,Workload rebalance triggered. Claim moved to Christopher Adams in Subrogation Recovery Unit. Action: Supplement inspection requested by field appraiser.,,,Manual,Claims Manager,Low
